voteAccount,stakePriority,totalActivatedStakeSol,bondBalanceSol,bidCpmpe,marinadeStake_710,marinadeStake_711,stakeChange,stakeChangeAbs
CJznrtFkWvkK91W57btS77cXqRKce3DcoX8KXRp2WzpR,78.0,194877.979,78.406,0.152,83211.796,84622.538,1410.742,1410.742
3Grtx7bvWU7FPZDWZRdUUmigXBSfkJUzwdZqgfAapcgz,7.0,20369.232,166.208,0.415,112081.842,113399.695,1317.853,1317.853
6m4ZwGp8zCuqjBoAn11pYAQun2FwSMe86RwPbqpf34YC,7.0,856.38,163.608,0.415,110328.241,111625.475,1297.235,1297.235
5WPxGiB6zBXNJp8JN3WhSKDuTY3ZBX6dBDcbtVMQAJLX,91.0,88052.592,59.631,0.14,64940.422,66087.773,1147.352,1147.352
SoLdWNZvT8f9293cELNBcPL3XLzsKCyG4AFmvqwXbmq,14.0,110674.843,96.668,0.4,67823.919,68959.728,1135.809,1135.809
DM8eVQwKYpFUq4MAC1XEeZMjV4T34LfvGkK9vca55GaY,93.0,100152.168,56.994,0.138,62340.662,63448.336,1107.675,1107.675
4mUZWLYoo16fe2S2xZ1DdXZHBxynRWBAf3prokBQsxac,89.0,91020.824,48.854,0.13,53686.794,54725.434,1038.639,1038.639
8gJCfKzr55gM6DtAaFqoWjBGAmsJ71mpHem6qJAASBU4,20.0,91544.234,105.138,0.35,77711.621,78748.509,1036.887,1036.887
7YCDRyGNn8g3WgZg25JLB9wKuERMkj99AFc8zHAQVwSt,75.0,9895.05,47.622,0.14,51046.543,52029.059,982.516,982.516
FqavJAnX2ioPssR7NkZnSU65fVLCr3AgnghuBKfSnePE,82.0,4469.792,43.76,0.135,47414.716,48336.943,922.227,922.227
EreifamaYZ1cAtegv5hJFgRSqDQg3i6uRamWXfYuJeC8,16.0,154852.85,108.847,0.4,76764.698,77645.299,880.601,880.601
A9YmK82uhCXieM9Cw9gN7W1F2KCxa8U1ArA6qxnyYcXQ,19.0,135987.03,78.319,0.351,57803.755,58574.239,770.484,770.484
EsELtZoep4TYcugKyMnB4ZWZYxn99V5Vb1TwexDzFey,13.0,251059.572,47.964,0.375,34224.713,34960.997,736.284,736.284
53fAQnWfTPoTQUb3AwPsUZsTTe4djRHmW8U8yztvVF8G,85.0,71341.805,28.492,0.15,30550.835,31138.773,587.938,587.938
A11pGbZDE8fPNZgiqDjoST6v3QMdhzZ3r8W5YahCKtS5,30.0,49733.913,53.686,0.331,40822.346,41382.703,560.357,560.357
D3QPJm7BDzzPeRG51YZSEz3LfV7GvFNu9NkcibzURxuj,20.0,354119.769,239.431,0.35,171457.858,170916.019,-541.839,541.839
8CKQeLWLkFXD9kg2U4y238i4eQrAxsoVtNA1dAtysbfJ,96.0,90636.029,58.808,0.125,65343.11,64857.976,-485.133,485.133
