voteAccount,stakePriority,totalActivatedStakeSol,bondBalanceSol,bidCpmpe,marinadeStake_709,marinadeStake_710,stakeChange,stakeChangeAbs
D3QPJm7BDzzPeRG51YZSEz3LfV7GvFNu9NkcibzURxuj,94.0,354590.533,0.0,0.15,0.0,171457.858,171457.858,171457.858
4QCeaNWTRsKY7Taw6PtneftQbuJCnqEuHpXW4cbSVvLB,33.0,275.332,188.278,0.325,0.0,135486.625,135486.625,135486.625
E2MhCdSvsm8qexDPZ5AnZU2Wa1mG8F1US82vh7y317ff,33.0,92933.571,0.165,0.325,124.275,124436.588,124312.313,124312.313
3Grtx7bvWU7FPZDWZRdUUmigXBSfkJUzwdZqgfAapcgz,33.0,26956.703,0.066,0.325,49.567,112081.842,112032.275,112032.275
6m4ZwGp8zCuqjBoAn11pYAQun2FwSMe86RwPbqpf34YC,33.0,102529.572,0.081,0.325,60.95,110328.241,110267.291,110267.291
GVQEm6h2UjDKhSU54kf7kFumJ5NDWddyYUtgy5eLCtBn,56.0,30788.372,130.434,0.295,100000.0,0.0,-100000.0,100000.0
GNajgJGjkdnmZTRGZzsQ4P4eL54gHRMfDDLyZpnZYmUy,74.0,26936.782,0.0,0.19,0.0,100000.0,100000.0,100000.0
HM5H6FAYWEMcm9PCXFbbiUFfFVLTN9UGy9AqmMQjdMRA,18.0,802839.147,84.345,0.35,61116.22,143764.215,82647.995,82647.995
5wP5Qm9frQfXY9QadZZHqgy6GEvqtHjpJ6uongxdb5gJ,33.0,26029.104,99.322,0.325,74674.069,154872.364,80198.295,80198.295
DimavhUqvCpWjUZqSFZGLqBiUVUYQ5jZEaCHutKKVs45,44.0,244168.114,97.59,0.32,74417.599,150000.0,75582.401,75582.401
H5oqciP46Ls3mJZu334niaKMcVWjsC7JKULLCZHxT8hr,47.0,31204.006,89.265,0.32,68524.342,0.0,-68524.342,68524.342
oRAnGeU5h8h2UkvbfnE5cjXnnAa4rBoaxmS4kbFymSe,100.0,607559.243,164.445,0.15,160000.0,93084.985,-66915.015,66915.015
HAK7iPgQTFwqEzPfVrRDbG5epFdk1dsA9qQexytsDoes,92.0,235687.911,125.77,0.171,125159.631,61673.807,-63485.824,63485.824
o27rnqfNHPwHsRp2xPXXwWzn2q2dGxn6UD4Rt5KMU5h,9.0,179273.537,89.251,0.41,60195.948,0.0,-60195.948,60195.948
8guXF5HQVU4g71ZCnn6aEJxQyb59NaEc4XCGjF5arsiH,84.0,95447.289,148.772,0.182,144906.317,85630.134,-59276.184,59276.184
5WPxGiB6zBXNJp8JN3WhSKDuTY3ZBX6dBDcbtVMQAJLX,85.0,87295.125,126.565,0.18,123758.587,64940.422,-58818.166,58818.166
2ZuVhyBsUbTh27LBCQH3BkenjPp86gUZiNBKmhPsTRpT,89.0,292461.256,174.809,0.171,167707.975,112110.295,-55597.68,55597.68
9mB171rzHzYFJTSoLBEDTX4ZvzzyWW2mtBBJovy1qD2E,45.0,145718.193,71.654,0.31,55115.316,11.942,-55103.374,55103.374
DM8eVQwKYpFUq4MAC1XEeZMjV4T34LfvGkK9vca55GaY,80.0,99765.991,120.696,0.185,116877.069,62340.662,-54536.408,54536.408
