voteAccount,stakePriority,totalActivatedStakeSol,bondBalanceSol,bidCpmpe,marinadeStake_711,marinadeStake_712,stakeChange,stakeChangeAbs
AShjuYEE1bTBar9HGJehw3FgzibJuVwuP846guzbjRPM,11.0,146079.082,101.677,0.375,73376.338,70974.456,-2401.883,2401.883
He4AUUbyUciqmWuAga11ucr2tM64GA3NqFXYEPmHPv6t,74.0,107177.323,84.073,0.142,91673.39,89318.061,-2355.329,2355.329
EsELtZoep4TYcugKyMnB4ZWZYxn99V5Vb1TwexDzFey,15.0,255401.629,47.991,0.375,34960.997,32626.859,-2334.137,2334.137
DrCcHpAWj8a4JU99QKtwfCynzdhgQeuieAY9WadZD5Ry,36.0,95571.779,56.362,0.35,43274.676,41002.027,-2272.649,2272.649
A11pGbZDE8fPNZgiqDjoST6v3QMdhzZ3r8W5YahCKtS5,27.0,52236.507,53.71,0.331,41382.703,39329.724,-2052.979,2052.979
FqavJAnX2ioPssR7NkZnSU65fVLCr3AgnghuBKfSnePE,80.0,4525.79,43.778,0.135,48336.943,46383.702,-1953.241,1953.241
E2MhCdSvsm8qexDPZ5AnZU2Wa1mG8F1US82vh7y317ff,6.0,62757.178,184.53,0.415,125899.708,124118.304,-1781.403,1781.403
8StzUMT1Kq33EHPoFx9zYhfuvzAbiqeh5nE3DftLLDPG,12.0,119738.925,78.6,0.37,57135.232,55477.097,-1658.135,1658.135
7okgo2YWz8fgNLAHSmAFwqPF59GMq9QuTSFSzPkkVcq7,85.0,77619.752,100.1,0.14,110411.77,108793.047,-1618.723,1618.723
qjUuLxWo29QCBr7ZQw4EPLkAtmjHS2ZdZpZcH9g7fRb,79.0,174659.912,101.1,0.145,110298.179,108699.032,-1599.148,1599.148
7YCDRyGNn8g3WgZg25JLB9wKuERMkj99AFc8zHAQVwSt,72.0,9933.415,47.642,0.14,52029.059,50437.626,-1591.434,1591.434
4VYA9PECtNzDRXNHKepzMprS1Y6nxKF4oRRnwkJqQZys,6.0,54607.237,200.183,0.415,136579.732,135209.311,-1370.421,1370.421
39xF5qkfK5HBaG4Hkq6bjumUB2k4B5ozEAmfZoobhUVw,59.0,294095.181,202.982,0.2,170939.846,172303.532,1363.687,1363.687
5okzFSJ474W7xZ75Xztdcvr4Kh61ZQzEW7eZisCdHxzc,72.0,1182.754,80.05,0.14,87420.729,86195.037,-1225.692,1225.692
3nYnW8z3Aum5U6HiVLJkR71rauWPW2hyvngye4t25rPt,87.0,77424.559,105.01,0.14,115993.54,114781.789,-1211.751,1211.751
4gg56BTsCSEXW3CLw7BuT31x3ptEjSz6aeVE1Xjby22R,36.0,56798.794,21.257,0.35,16321.295,15308.32,-1012.975,1012.975
4QCeaNWTRsKY7Taw6PtneftQbuJCnqEuHpXW4cbSVvLB,6.0,10882.227,200.992,0.415,137131.288,138080.768,949.48,949.48
AaxfteYTX2ftBRQfW1x6FiC8wY5dCJYgsPr8JwwMUuPZ,79.0,25009.983,60.01,0.145,65469.77,64520.565,-949.205,949.205
BK5Km4MyuncoBWKCM9y3zntA1JjhdqNcHd3mxitms4Xo,5.0,232144.95,33.792,0.416,23024.123,22102.903,-921.22,921.22
1KXz4xKV2viJCGpxqnQqdf2J45vQr5USdmtcJLTaHkm,71.0,256494.405,9.391,0.154,10088.08,9283.888,-804.193,804.193
37Fz6yZjFdZS6DDsJSsswX5kSvunaZQtQ5zusC3y9V7S,6.0,8288.93,203.031,0.415,138522.676,139218.019,695.343,695.343
5wP5Qm9frQfXY9QadZZHqgy6GEvqtHjpJ6uongxdb5gJ,33.0,27840.109,201.819,0.325,156973.714,156281.5,-692.214,692.214
3teZKwABvB99bxZc5q8yVWJt5mbhxgUAx4teMdUbzgN4,51.0,19609.512,3.116,0.25,2775.65,2108.183,-667.466,667.466
6m4ZwGp8zCuqjBoAn11pYAQun2FwSMe86RwPbqpf34YC,6.0,8281.18,163.608,0.415,111625.475,112167.976,542.5,542.5
5akpkYincAbsTBXVbf2GDCg4KatMnc8BKkXZCh7MWGPK,8.0,198847.243,10.002,0.4,7031.41,6638.043,-393.367,393.367
8rP6iyELBNkHabaNXvMJKEt7tgNSKeExT1w6AQUJbyz,6.0,39953.077,210.887,0.415,143882.905,144240.0,357.095,357.095
3Grtx7bvWU7FPZDWZRdUUmigXBSfkJUzwdZqgfAapcgz,6.0,26039.014,166.208,0.415,113399.695,113123.395,-276.3,276.3
91413b9eEvG6UofpSgwdUgH9Lz4QBF1G3J325Bw7JwGR,41.0,44690.58,12.234,0.3,9944.101,9738.628,-205.473,205.473
4aFj9VyXDrqU4TnKWnMVuPaAVTaF4GZLLKZN2iZivW29,69.0,84790.463,22.367,0.17,23411.477,23288.819,-122.658,122.658
CyxKaD6TayfbCRx6mSrLpPY1YSLofdVZKA6BSThXWfXS,6.0,21929.671,201.254,0.415,137310.115,137391.5,81.384,81.384
3d86H85gXsgFr7qu9hwCdPn4xHtWmw37QXjEiFc1wB63,6.0,20851.505,188.003,0.415,128269.249,128345.147,75.898,75.898
We11J5D4iXcNbdMwCZX2o9RRkwaWBo1AGLADfubmeTb,62.0,93608.495,0.02,0.25,18.887,45.529,26.642,26.642
9esjPxaUdD7yg4yDrBkP3jLipcAGVjpLDXsddF89avzW,24.0,35565.824,50.417,0.35,38078.608,38098.49,19.882,19.882
FGj3nQTn2Lwe9KkaKnFGm4HcxLSh8B8TjpvP4CinP4iX,24.0,39967.822,50.555,0.35,38183.567,38202.34,18.773,18.773
9mB171rzHzYFJTSoLBEDTX4ZvzzyWW2mtBBJovy1qD2E,38.0,31716.283,0.015,0.31,12.106,1.828,-10.279,10.279
AMvyqeuRBxcDuy38MuGtPksvBtpuT3NPyoiVBDbzza6P,49.0,93378.831,0.023,0.273,20.038,11.063,-8.975,8.975
GQ8DSRSNCFGEdCEwc6em1ma18qSPc5cXCSDnSPSznWBP,43.0,271200.355,0.019,0.3,15.474,8.284,-7.19,7.19
